model,dimension,subgroup,N,success_count,success_rate,mean_score,adjudicated_success_count,adjudicated_success_rate,adjudicated_mean_score,average_steps,median_steps,average_duration,median_duration,step_limit_reached,wall_time_limit_reached,budget_exhaustion,declared_complete_but_failed,failed_N,failed_with_positive_score,mean_failed_score,failed_with_any_satisfied_scoring_condition,mean_failed_scoring_condition_fraction
claude-opus-4-8,device_topology,2A,20,3,0.15,0.2791666666666667,3,0.15,0.2791666666666667,42.1,50.0,749.0721,649.935,14,1,15,2,17,5,0.15196078431372548,5,0.15196078431372548
claude-opus-4-8,device_topology,2A+1H,10,3,0.3,0.7,3,0.3,0.7,25.3,17.5,399.2966,278.64099999999996,3,0,3,4,7,6,0.5714285714285714,6,0.5714285714285714
claude-opus-4-8,device_topology,2A+1L,18,4,0.2222222222222222,0.4166666666666667,4,0.2222222222222222,0.4166666666666667,24.444444444444443,26.0,1171.2755555555555,1211.2365,0,8,8,6,14,7,0.25,7,0.25
claude-opus-4-8,device_topology,2A+1L+1H,12,5,0.4166666666666667,0.7291666666666666,5,0.4166666666666667,0.7291666666666666,28.166666666666668,14.5,621.6811666666666,430.22450000000003,5,0,5,2,7,7,0.5357142857142857,7,0.5357142857142857
claude-opus-4-8,device_topology,2A+2L,13,0,0,0.30128205128205127,0,0,0.30128205128205127,31.692307692307693,35,1317.8393846153847,1481.852,2,6,8,5,13,7,0.30128205128205127,7,0.30128205128205127
claude-opus-4-8,device_topology,2L,18,15,0.8333333333333334,0.8796296296296297,15,0.8333333333333334,0.8796296296296297,5.055555555555555,5.0,314.4992222222222,275.504,0,0,0,3,3,2,0.2777777777777778,2,0.2777777777777778
claude-opus-4-8,device_topology,2L+1H,12,0,0,0.5208333333333334,0,0,0.5208333333333334,6.916666666666667,7.0,337.0015,331.93949999999995,0,0,0,12,12,12,0.5208333333333334,12,0.5208333333333334
claude-opus-4-8,environment_type_count,1,48,22,0.4583333333333333,0.5711805555555556,22,0.4583333333333333,0.5711805555555556,20.270833333333332,7.0,441.0433125,304.1895,14,1,15,11,26,11,0.20833333333333334,11,0.20833333333333334
claude-opus-4-8,environment_type_count,2,122,42,0.3442622950819672,0.569535519125683,42,0.3442622950819672,0.569535519125683,19.9672131147541,11.0,705.1965,377.193,13,22,35,45,80,51,0.34354166666666663,52,0.34979166666666667
claude-opus-4-8,environment_type_count,3,30,11,0.36666666666666664,0.6666666666666666,11,0.36666666666666664,0.6666666666666666,22.666666666666668,18.5,518.6481333333334,405.639,5,0,5,14,19,17,0.47368421052631576,17,0.47368421052631576
claude-opus-4-8,task_category,NA,10,4,0.4,0.6,4,0.4,0.6,4,3.0,52.7651,21.180999999999997,0,0,0,6,6,4,0.3333333333333333,4,0.3333333333333333
claude-opus-4-8,task_category,android_only,15,2,0.13333333333333333,0.2833333333333333,2,0.13333333333333333,0.2833333333333333,42.333333333333336,50,638.0371333333334,645.661,11,0,11,2,13,4,0.17307692307692307,4,0.17307692307692307
claude-opus-4-8,task_category,android_smarthome,25,9,0.36,0.7033333333333334,9,0.36,0.7033333333333334,22,17,352.84036,239.995,6,0,6,10,16,14,0.5364583333333334,14,0.5364583333333334
claude-opus-4-8,task_category,linux_android,24,9,0.375,0.5791666666666666,9,0.375,0.5791666666666666,20.958333333333332,12.0,844.8358333333333,504.53,1,6,7,8,15,10,0.32666666666666666,10,0.32666666666666666
claude-opus-4-8,task_category,linux_android_final_balancing,11,2,0.18181818181818182,0.3333333333333333,2,0.18181818181818182,0.3333333333333333,24.727272727272727,30,1159.638,1090.849,1,4,5,4,9,3,0.18518518518518517,3,0.18518518518518517
claude-opus-4-8,task_category,linux_android_next,10,1,0.1,0.325,1,0.1,0.325,32.4,32.0,1646.0151,1848.875,1,7,8,1,9,4,0.25,4,0.25
claude-opus-4-8,task_category,linux_android_smarthome,30,11,0.36666666666666664,0.6666666666666666,11,0.36666666666666664,0.6666666666666666,22.666666666666668,18.5,518.6481333333334,405.639,5,0,5,14,19,17,0.47368421052631576,17,0.47368421052631576
claude-opus-4-8,task_category,linux_only,15,12,0.8,0.8555555555555555,12,0.8,0.8555555555555555,4.933333333333334,5,315.9872,267.304,0,0,0,3,3,2,0.2777777777777778,2,0.2777777777777778
claude-opus-4-8,task_category,linux_smarthome,30,14,0.4666666666666667,0.725,14,0.4666666666666667,0.725,6.566666666666666,6.0,252.17713333333333,240.6025,0,0,0,16,16,15,0.484375,16,0.515625
claude-opus-4-8,task_category,real100_cross_device,8,3,0.375,0.4166666666666667,3,0.375,0.4166666666666667,25.375,23.5,1073.543875,1006.156,0,3,3,2,5,1,0.06666666666666667,1,0.06666666666666667
claude-opus-4-8,task_category,real200_cross_device,10,3,0.3,0.45,3,0.3,0.45,28.6,26.0,779.163,658.9975,3,2,5,2,7,3,0.21428571428571427,3,0.21428571428571427
claude-opus-4-8,task_category,real300_cross_device,12,5,0.4166666666666667,0.4861111111111111,5,0.4166666666666667,0.4861111111111111,27.083333333333332,23.0,842.2919166666667,725.239,4,1,5,2,7,2,0.11904761904761904,2,0.11904761904761904
claude-opus-4-8,manifest_family,android_only,15,2,0.13333333333333333,0.2833333333333333,2,0.13333333333333333,0.2833333333333333,42.333333333333336,50,638.0371333333334,645.661,11,0,11,2,13,4,0.17307692307692307,4,0.17307692307692307
claude-opus-4-8,manifest_family,android_smarthome,25,9,0.36,0.7033333333333334,9,0.36,0.7033333333333334,22,17,352.84036,239.995,6,0,6,10,16,14,0.5364583333333334,14,0.5364583333333334
claude-opus-4-8,manifest_family,linux_android,45,12,0.26666666666666666,0.4625925925925926,12,0.26666666666666666,0.4625925925925926,24.42222222222222,28,1099.8273111111112,1090.849,3,17,20,13,33,17,0.26717171717171717,17,0.26717171717171717
claude-opus-4-8,manifest_family,linux_android_smarthome,30,11,0.36666666666666664,0.6666666666666666,11,0.36666666666666664,0.6666666666666666,22.666666666666668,18.5,518.6481333333334,405.639,5,0,5,14,19,17,0.47368421052631576,17,0.47368421052631576
claude-opus-4-8,manifest_family,linux_only,15,12,0.8,0.8555555555555555,12,0.8,0.8555555555555555,4.933333333333334,5,315.9872,267.304,0,0,0,3,3,2,0.2777777777777778,2,0.2777777777777778
